corr,seed,vif_feature1,vif_feature2,cond_number,time_lr_both,time_svr_both,time_rf_both,time_mlp_both,coef_lin_f1,coef_lin_f2,rmse_lin_train_both,rmse_lin_test_both,rmse_svr_train_both,rmse_svr_test_both,rmse_rf_train_both,rmse_rf_test_both,rmse_mlp_train_both,rmse_mlp_test_both,svr_imp_f1_both,svr_imp_f2_both,rf_imp_f1_both,rf_imp_f2_both,mlp_imp_f1_both,mlp_imp_f2_both,svr_shap_f1_both,svr_shap_f2_both,rf_shap_f1_both,rf_shap_f2_both,mlp_shap_f1_both,mlp_shap_f2_both,rmse_lin_train_f1,rmse_lin_test_f1,rmse_svr_train_f1,rmse_svr_test_f1,rmse_rf_train_f1,rmse_rf_test_f1,rmse_mlp_train_f1,rmse_mlp_test_f1,time_lr_f1,time_svr_f1,time_rf_f1,time_mlp_f1,rmse_lin_train_f2,rmse_lin_test_f2,rmse_svr_train_f2,rmse_svr_test_f2,rmse_rf_train_f2,rmse_rf_test_f2,rmse_mlp_train_f2,rmse_mlp_test_f2,time_lr_f2,time_svr_f2,time_rf_f2,time_mlp_f2
-0.9,42,5.042280759361611,5.042280759361611,4.256044744361124,0.0007681846618652344,0.07735157012939453,0.205169677734375,0.6610682010650635,0.04212083983252786,1.9216539658450784,1.335034176032125,1.2170209691349565,1.2861761546237802,1.147023749721167,0.45731002268340387,1.1108264906531864,1.2507486720232905,1.1662568107733504,0.18646629597900283,0.8972188452416484,0.0006205210770917513,1.6298825902337808,0.020425576258218846,1.3848716136193013,0.2582459428381927,1.224684176182102,0.15047662856891494,1.5676523086741945,0.07905300677054189,1.5116327645940628,1.5878390391207025,1.4772783998078807,1.5786804460757458,1.4762641256035332,0.7066016108995254,1.6919641228757125,1.5664179593638334,1.4710136436812542,0.001046895980834961,0.07966399192810059,0.24975109100341797,0.4672410488128662,1.3351662748254856,1.2175197710449466,1.300030663179935,1.1492564817993987,0.49244992120030334,1.2022739485264182,1.2694204051637543,1.169405350081176,0.00066375732421875,0.08299136161804199,0.24843621253967285,0.4600987434387207
-0.9,43,5.54288260204583,5.54288260204583,4.4857366336946445,0.0005977153778076172,0.08658146858215332,0.23386073112487793,0.47196245193481445,0.10145785672214003,1.9504988719511118,1.2082322068488827,1.393263748483325,1.1138425871669406,1.3372823176819582,0.4167666939664557,1.1554033280915186,1.1581382183642357,1.326659760436337,0.2501932435243189,0.7902827161436338,0.003720548527132761,1.49151149672825,0.04255302615932731,1.1784776911874104,0.3399188946057033,1.1704115250692513,0.15806601974891982,1.5500800733625983,0.12994678406849813,1.444458831265832,1.4627072682863982,1.6619166330372661,1.4819602239118672,1.6953620863069483,0.6326009420464527,1.8572756523458067,1.456753053034207,1.6487483393066367,0.0006964206695556641,0.07655763626098633,0.2349536418914795,0.43714237213134766,1.2089884280880208,1.3949161651012039,1.0882671612149142,1.3059218109430095,0.4610692748635402,1.2480460407161307,1.1477013790530832,1.3054895618256335,0.0008676052093505859,0.07834100723266602,0.24214911460876465,0.45731210708618164
-0.9,44,5.592885341480239,5.592885341480239,4.508029993304433,0.0005939006805419922,0.07928323745727539,0.18360233306884766,0.4755821228027344,-0.016891556921588242,1.901515879889228,1.2954333666853328,1.2077729067434764,1.1932200441719378,1.1007804758747821,0.4307580445240686,1.098470849860802,1.2312684581953546,1.168527930050037,0.22503229581366133,0.8400046253170229,0.013640073288757215,1.4496606354535146,0.02040250573209703,1.3009720725764957,0.34096730576942397,1.174411319705746,0.1648076755033396,1.5341303595263116,0.08582220332105082,1.5017224423171274,1.524802026882948,1.4228975289917967,1.5224496501792022,1.4163614169791776,0.6534693538217714,1.71744692561785,1.4987936239809294,1.406948994996511,0.0006723403930664062,0.07614421844482422,0.23700857162475586,0.4373197555541992,1.2954535998233994,1.2079539243437267,1.193325255623596,1.083865055766095,0.46107741116845075,1.1983335508807655,1.2321200274551876,1.1564829672528272,0.0005629062652587891,0.07564616203308105,0.24428629875183105,0.4528543949127197
-0.9,45,4.965364010942003,4.965364010942003,4.219631852308446,0.0007684230804443359,0.08702993392944336,0.18252086639404297,0.4645102024078369,0.07172668513932745,1.7713714725612046,1.150482839588796,1.3544139647431248,1.0767171837114573,1.4490190681281188,0.4304435131009333,1.142276330852842,1.1089304454761932,1.324212889192132,0.1728919200086628,0.7577055116123705,0.00015687263735586487,1.5189228483679986,0.017311901478987823,1.1920882547459408,0.3178561723396424,1.1594080385637326,0.15000191654218292,1.5507298187668785,0.06235050988218422,1.4532523137597073,1.4000571142216696,1.571192519571889,1.4020169006597922,1.7510070385351593,0.622413252935245,1.8071178319961094,1.3971308928699726,1.597968307494823,0.0006794929504394531,0.09219789505004883,0.25153422355651855,0.19227862358093262,1.15092786479271,1.351796893129501,1.0728492202229216,1.3317465995284126,0.46848974132698645,1.2536652925927387,1.1174358512584317,1.3407026416637706,0.0008146762847900391,0.09248828887939453,0.26161980628967285,0.47419166564941406
-0.9,46,5.181501012436584,5.181501012436584,4.321162946632399,0.0008664131164550781,0.08185195922851562,0.2158656120300293,0.5255832672119141,0.12203381579641213,2.0285544525825756,1.535299064927203,1.3045497103316188,1.5002665530922774,1.2083482689613014,0.4206833567345637,1.1229461320305787,1.331323281915212,1.244292686403431,0.22733204897211473,0.9631159440704311,0.05290866710257135,1.340850643171075,0.03583420974466613,1.3077533407042332,0.19949906095381428,1.2650898619916033,0.2007278500125191,1.433384427603159,0.11794835946295519,1.465538615555173,1.7761649366976668,1.561896077689609,1.7985685065252086,1.567399676586106,0.6993234818564596,2.005789035673708,1.6622665412432023,1.5634725774915303,0.0006842613220214844,0.0764312744140625,0.25021886825561523,0.4448087215423584,1.5362301741309228,1.3043606403353576,1.4529395924364241,1.2067641110824696,0.46968164426461695,1.256968283868131,1.3210370476487057,1.2268058426223398,0.0006394386291503906,0.07885098457336426,0.25046873092651367,0.44680094718933105
-0.9,47,5.238635475502365,5.238635475502365,4.347601227095823,0.0005612373352050781,0.07980895042419434,0.17885589599609375,0.4589393138885498,0.1351336487876844,2.111382796206611,1.3754049518119185,1.3183913406225272,1.272472557201847,1.20302772962206,0.416733178735844,1.145410596865307,1.2591862555539732,1.244803237655644,0.22990475132694624,0.8839926702005487,0.02150983662886129,1.7749197131709138,0.02376878303650335,1.4131911902180683,0.3035692415393816,1.2610085274387028,0.1757094199097062,1.6604242026690803,0.08636743866998886,1.6034142803278788,1.665194617330634,1.5676540704398345,1.7226461044829648,1.571589817652378,0.725799931776606,1.8807679280566976,1.6449462534852242,1.5672356060404045,0.0011188983917236328,0.0839238166809082,0.25820064544677734,0.4805176258087158,1.3767062027579011,1.3205273324860003,1.2253389872693992,1.1887009667087252,0.4409151241411064,1.2317242998798925,1.2736220710184563,1.2590437399260312,0.0010056495666503906,0.08326888084411621,0.2593874931335449,0.4825623035430908
-0.9,48,4.729379822644471,4.729379822644471,4.105873960570425,0.0008389949798583984,0.09641242027282715,0.2132892608642578,0.5167140960693359,-0.01621570583575473,1.9031711296312321,1.4027703803503353,1.1429324057163437,1.3389329958999288,1.0229202754008226,0.4208547457453842,1.086515382739795,1.2464013023138172,1.1004916042792467,0.119881085454552,1.1767550416105352,0.031187934117872174,1.7648089875259518,0.003345557734650606,1.4984854717368103,0.17413105845310514,1.3138935503140958,0.17223894427858985,1.5216309172894174,0.06659232537306187,1.4762355868143466,1.6499238881203515,1.3708533897544029,1.6643603674204455,1.3238529950345883,0.6841354012103265,1.6688604334736576,1.5739515324416415,1.3648167091295398,0.0008292198181152344,0.09320497512817383,0.2564833164215088,0.4918982982635498,1.4027897930138495,1.1432058590741374,1.2985501032780822,1.0064243331452254,0.4591445289600947,1.2166689744748949,1.3353383645367343,1.1220128726207623,0.0006074905395507812,0.08475732803344727,0.25820422172546387,0.48885655403137207
-0.9,49,5.146474572295477,5.146474572295474,4.304873678782987,0.0008077621459960938,0.08953738212585449,0.2140340805053711,0.5117125511169434,-0.04600400302862073,1.9385108338859893,1.3814884055495487,1.610782280152179,1.3071631746557004,1.5991441140183646,0.41412418045353544,1.2117070860933163,1.1702055047564865,1.3741752133662755,0.22288951851833808,0.7705415406449071,0.02953732274828654,1.4628507946255673,0.05981437647656884,1.2401582098921644,0.26925208247405846,1.2564120389011872,0.15492909782815595,1.5813643467216545,0.09753221714773347,1.563927492389858,1.6275962193813205,1.8687617243743102,1.7001611752762993,1.8872676684157283,0.6788633300778583,1.9203840028909065,1.5593426392866105,1.7936261092127037,0.0010170936584472656,0.08537054061889648,0.25346803665161133,0.4806478023529053,1.381638872481221,1.6094078903020672,1.2178450437766328,1.5976836622500024,0.4529639723675074,1.268500337549771,1.250653000008591,1.478536769342761,0.0009145736694335938,0.07960367202758789,0.25748777389526367,0.47316956520080566
-0.9,50,5.438197767663772,5.438197767663772,4.438697431921316,0.0006449222564697266,0.08000779151916504,0.2397465705871582,0.49202823638916016,0.05137979467493231,2.092835312545679,1.4961137959696478,1.2034322810310285,1.3330836292548651,1.1224164556997631,0.41507473081067375,1.0720528293399012,1.3795709500368878,1.1777335935835325,0.21094664533285715,0.86141586386229,0.006051031580217692,1.53120027076822,0.034747452655686205,1.569334408905544,0.3022627593143744,1.1635202622098824,0.15096025152310158,1.5279472525881193,0.1083339936378349,1.5969029370559071,1.7444234278610211,1.4083957161162886,1.7202116529562923,1.4498556526782351,0.7392011597601965,1.7042178778588317,1.6722337375735943,1.4010139568931745,0.0009393692016601562,0.07912850379943848,0.2558722496032715,0.47728514671325684,1.496277662654599,1.2025816829427936,1.2809323590501502,1.0464037469938656,0.4617296202953827,1.1821557515054784,1.3438292482831333,1.1768977393186786,0.0006208419799804688,0.07884836196899414,0.2581298351287842,0.4774289131164551
-0.9,51,5.508355370028255,5.508355370028255,4.470277384603114,0.0006034374237060547,0.08257865905761719,0.2197251319885254,0.5197262763977051,-0.010801850370256673,1.9257213513231561,1.2968170686566864,1.6655306414648103,1.2377626706946068,1.7829199061108771,0.4203536998863044,1.2182637587038996,1.251214988248804,1.6007159482981237,0.20376045835968642,0.6915953619205567,0.03826302657234779,1.5796849712744065,0.03091416490956069,1.0326991234365834,0.312606654009141,1.2223745172365328,0.1657706449535633,1.6878307781710438,0.06989101238024667,1.5232114838296509,1.5361509184174094,1.856231875364594,1.569445115956333,1.9868354275505204,0.7069621770015703,1.808082486232258,1.5179801214838113,1.8073214018399604,0.0005555152893066406,0.07644271850585938,0.24008703231811523,0.4272134304046631,1.2968253807681873,1.6656498601304242,1.1988211835343419,1.707457243374365,0.4513256348314805,1.2989631103232526,1.2572854251166652,1.5953271030510194,0.0005631446838378906,0.07900023460388184,0.24152016639709473,0.42418456077575684
