corr,noise_sd,seed,vif_feature1,vif_feature2,cond_number,rmse_lin_test_both,rmse_lin_test_f1,rmse_lin_test_f2,rmse_svr_test_both,rmse_svr_test_f1,rmse_svr_test_f2,rmse_rf_test_both,rmse_rf_test_f1,rmse_rf_test_f2,rmse_mlp_test_both,rmse_mlp_test_f1,rmse_mlp_test_f2
-0.9,0.0,42,5.153219394068682,5.153219394068679,4.308015244783961,0.8946431303945517,0.8953580920888838,0.8955253770459889,0.19577589608450768,0.674320299679921,0.07756448480346395,0.023355290106297753,0.80201731042003,0.014363606370989249,0.4339258156658851,0.6787769969503774,0.4325351087331262
-0.9,0.0,43,5.741622368708225,5.741622368708225,4.573694931174013,0.8889595897862055,0.8906415943115681,0.8888215258207433,0.19148142841539048,0.6739379356531172,0.10443301462641918,0.026512331542541488,0.7840191897275719,0.01803439457505779,0.46430509155564154,0.6712135350461075,0.4392704881248288
-0.9,0.0,44,5.600682130573753,5.600682130573753,4.511496110808105,0.877153212762637,0.875268995420405,0.8758367758590684,0.18340389867246507,0.6582968265767525,0.07449792408621034,0.009015568947731556,0.7594276912724486,0.0077745367872562796,0.44369993382634,0.6607291355401029,0.4456437550714098
-0.9,0.0,45,5.22504238222112,5.2250423822211225,4.341325949420962,0.9340795700651153,0.932289697533334,0.9337484842011374,0.18420277214996417,0.6954664935411462,0.09285286649875404,0.0333999333110622,0.8613282835702785,0.028313088691223683,0.4321143238885835,0.6934634373253482,0.4292767461363201
-0.9,0.0,46,5.483334992871934,5.483334992871934,4.459040913280869,0.8948082656596225,0.8956570114776066,0.8950183396320053,0.20314193408372636,0.6805535967385731,0.10384115735859832,0.04814183853948135,0.7884780107790597,0.04485806043534546,0.4482163743703129,0.6618659464148321,0.4191091710143422
-0.9,0.0,47,5.37129221000906,5.37129221000906,4.408368390499695,0.8567485635251736,0.8554939385511944,0.855907842102866,0.20936440077845822,0.6549462067254915,0.09028485954089191,0.022424619904119168,0.8010408421023919,0.012887129902262023,0.4266226910344747,0.6743488769084014,0.41919503780229855
-0.9,0.0,48,4.850172207984016,4.850172207984016,4.164496221218058,0.8385650716437438,0.8387930499279973,0.8381430383331441,0.16304265343181196,0.6744523885922198,0.0709024952878482,0.008703409544103017,0.806239263810732,0.006727302454945026,0.4051754286133431,0.6709025548004833,0.46601425927652157
-0.9,0.0,49,5.466162609494122,5.466162609494122,4.451312338544182,0.8896594887742335,0.8888535022584098,0.8902719276094353,0.22687953783076956,0.6764269113959186,0.11820865532703104,0.03659356504022344,0.8004848065331138,0.03325542180490496,0.4315017307434126,0.6825367255550604,0.4285713876520236
-0.9,0.0,50,5.391209916498339,5.391209916498339,4.417419307495345,0.800563310710955,0.7993044928369716,0.7995749380054513,0.18725373271503323,0.6522803414293296,0.0843207679581605,0.01541979497657341,0.817892618888066,0.011647492996108125,0.3398136974538129,0.651734614996212,0.43618943583708586
-0.9,0.0,51,5.222503026602829,5.222503026602826,4.340152633849484,0.8434766526907643,0.8384620977356432,0.8417006139614006,0.18588615094175986,0.6520206150690128,0.09581599711534278,0.029141213349974493,0.7659000689437494,0.0249745155166273,0.39185839361089636,0.6651391395499157,0.45195698545843166
