corr,seed,vif_feature1,vif_feature2,cond_number,time_lr_both,time_svr_both,time_rf_both,time_mlp_both,coef_lin_f1,coef_lin_f2,rmse_lin_test_both,rmse_svr_test_both,rmse_rf_test_both,rmse_mlp_test_both,svr_imp_f1_both,svr_imp_f2_both,rf_imp_f1_both,rf_imp_f2_both,mlp_imp_f1_both,mlp_imp_f2_both,rmse_lin_test_f1,rmse_svr_test_f1,rmse_rf_test_f1,rmse_mlp_test_f1,rmse_lin_test_f2,rmse_svr_test_f2,rmse_rf_test_f2,rmse_mlp_test_f2
-0.9,42,5.042280759361611,5.042280759361611,4.256044744361124,0.001657247543334961,0.08133530616760254,0.2748293876647949,0.691847562789917,0.13046575510003425,0.1287990450005667,0.820652691346438,0.16868336113862678,0.02026811383791971,0.4533535770984978,0.4990600966487163,1.5380686730727984,-8.304436428880901e-05,1.9887497085246646,0.1658431972223838,1.7567698053017395,0.8213684482183715,0.6675436240527852,0.8018991731237047,0.6579141048793736,0.819233909032617,0.07758057590979932,0.01678084518563565,0.44116701809287917
-0.9,43,5.54288260204583,5.54288260204583,4.4857366336946445,0.0010211467742919922,0.09849739074707031,0.2659010887145996,0.6704182624816895,-0.026546135988498615,0.032173622340195204,0.9395160275343102,0.23563246287526013,0.08787427138780368,0.45900715943647163,0.5165060079476017,1.4255516704989213,0.00015227154495944806,1.9791565039407257,0.09567165907897648,1.7431710418274426,0.9389822414767764,0.7166288754424351,0.818360232643535,0.709470674295268,0.9394495013419119,0.1588176117068397,0.08113363093384451,0.4336671904277776
-0.9,44,5.592885341480239,5.592885341480239,4.508029993304433,0.0007202625274658203,0.1200709342956543,0.26782751083374023,0.6775972843170166,0.024486366829676285,-0.0005341594141547589,0.80798892457441,0.18000036027879696,0.009904849087432156,0.4459451514195909,0.6200185483498755,1.7046037489907604,3.2087653320989064e-05,2.020160649440546,0.10453903494606295,1.7447139268293916,0.8079846050469351,0.6282739352375438,0.7822636139154469,0.6279895568432805,0.8080355166805011,0.07832598074302463,0.0060522259145667796,0.4430667980269504
-0.9,45,4.965364010942003,4.965364010942003,4.219631852308446,0.0006539821624755859,0.10021400451660156,0.24019455909729004,0.729280948638916,-0.0030371003958828907,1.20537556951252e-05,0.8917865239461912,0.22075420980501093,0.042983653206127556,0.39693155083607967,0.43834912242392254,1.5971516157947572,9.551479025013965e-05,1.9229329427983886,0.07296888920101373,1.7077129690113941,0.891786356821501,0.6858955206614368,0.8236083242764032,0.6575343836187062,0.8918510889442735,0.11635138251853637,0.04222930395289328,0.4516839413571501
-0.9,46,5.181501012436584,5.181501012436584,4.321162946632399,0.0008673667907714844,0.08852815628051758,0.26381516456604004,0.7050235271453857,-0.04146018296677107,0.013261992101498636,0.8967177320540862,0.1830383359533961,0.04016871206525905,0.43971738509958314,0.5452121871979908,1.4936873301476044,0.00029926174117624884,1.943281229426671,0.09411141895311227,1.5646099362218222,0.8971358656060591,0.6868336018632303,0.8425950007219398,0.6744817246546873,0.8950091984588707,0.10126258659672492,0.030770643893329983,0.4191782986507592
-0.9,47,5.238635475502365,5.238635475502365,4.347601227095823,0.001010894775390625,0.08984208106994629,0.294018030166626,0.6846368312835693,-0.06692452964628309,-0.03966804728029725,0.8697606345074863,0.1768757680304731,0.015508693555691322,0.42325415452396997,0.5434965087144907,1.634004365063101,-1.8678885548661926e-05,1.9731125451238634,0.09373004247487747,1.6866706314605935,0.8699065491975789,0.6746921472435277,0.8019297386465749,0.6794586428527485,0.8695199335411584,0.08998863008654655,0.01091469567193421,0.4181379216501836
-0.9,48,4.729379822644471,4.729379822644471,4.105873960570425,0.0009350776672363281,0.1099398136138916,0.2723422050476074,0.7058751583099365,-0.02705954740859614,0.03637433659611798,0.8090106927478189,0.20978843375202416,0.01001813197777114,0.4027955221673898,0.4688999358802587,1.6526198085406811,3.894747183140757e-05,2.0238745155409488,0.0634414799984778,1.554120378282041,0.8085565148840875,0.6781742992194401,0.8014583342121556,0.6818013023394423,0.8092467888622098,0.07100460754933602,0.008546688419932445,0.43102510266636346
-0.9,49,5.146474572295477,5.146474572295474,4.304873678782987,0.0008761882781982422,0.1006462574005127,0.23477721214294434,0.7480590343475342,-0.09701487967624357,-0.04859605686433754,0.9543336695508019,0.27585154488795505,0.1439129510955947,0.4510575811942696,0.4920273484507772,1.4363473309067873,0.0019140984876106272,1.8981174562269587,0.054772786231172085,1.5811216930853897,0.9542088320944973,0.7011988277934849,0.8424686462853501,0.709458865024769,0.9517606332438854,0.22391785573344433,0.11752795199453007,0.4674779008027884
-0.9,50,5.438197767663772,5.438197767663772,4.438697431921316,0.0008025169372558594,0.08312249183654785,0.24266386032104492,0.6123526096343994,0.0018072051272225939,0.03412440002551839,0.897591767269652,0.20583059567563575,0.017214851860545062,0.39007445607665314,0.5157921633128801,1.4952219383230847,-7.698252135610595e-05,1.9555660760306453,0.06963271431300683,1.5558077711867238,0.8978359819237686,0.6748271981033912,0.7998118510576175,0.6658112748434071,0.8976384614051731,0.07684082531886978,0.011376883725372915,0.43752359938751184
-0.9,51,5.508355370028255,5.508355370028255,4.470277384603114,0.0009744167327880859,0.11144518852233887,0.2526094913482666,0.6824464797973633,0.019012579601743185,0.014803468474943413,0.8742398912187314,0.3179076180722818,0.1287792288292665,0.443484964474779,0.49989674639364673,1.445736705013992,-0.0011742297748718045,1.8561054448224155,0.12894040022207914,1.4735803314015903,0.873622112907428,0.6697225861251943,0.7471657709057111,0.663490770076437,0.8737929255991095,0.2192761918125893,0.11984865825199814,0.4881878124603159
